epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,7043.65,1.09527,0.35618,0.00793,0.98326,0.94504,0.96977,0.65573,1.18013,0.40468,0.00943,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,7185.62,1.10295,0.34048,0.00811,0.98915,0.93852,0.96946,0.66288,1.17638,0.40453,0.00939,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,7328.01,1.08763,0.34001,0.00809,0.98344,0.94035,0.96723,0.6623,1.18859,0.39419,0.00946,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,7469.72,1.09076,0.33784,0.00793,0.98494,0.94462,0.97099,0.64608,1.21309,0.43073,0.00965,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,7610.61,1.07998,0.32058,0.0079,0.98368,0.94411,0.96824,0.66203,1.1728,0.38446,0.00899,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,7751.11,1.08427,0.32221,0.00792,0.9824,0.95016,0.96274,0.66469,1.15397,0.38615,0.00906,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,7892.68,1.06478,0.3214,0.00783,0.98345,0.94085,0.9621,0.6595,1.17306,0.3939,0.00919,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,8032.7,1.05387,0.31483,0.00788,0.9885,0.94737,0.97213,0.66582,1.16776,0.38741,0.00919,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,8173.51,1.05321,0.31805,0.00774,0.98162,0.94923,0.96304,0.66816,1.14664,0.37428,0.00876,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,8314.48,1.0511,0.32021,0.00754,0.98852,0.94131,0.96204,0.66765,1.15312,0.38655,0.00902,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,8456.78,1.06839,0.3258,0.00781,0.98672,0.94597,0.96313,0.66363,1.16246,0.39573,0.00904,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,8599.39,1.0496,0.31574,0.00759,0.99019,0.94024,0.96312,0.66842,1.14856,0.37939,0.00896,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,8740.91,1.04452,0.30672,0.00755,0.98897,0.93898,0.96289,0.67038,1.14185,0.37955,0.00887,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,8882.09,1.04602,0.30488,0.00735,0.97983,0.94737,0.96288,0.66561,1.15801,0.37631,0.00894,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,9023.36,1.0355,0.29687,0.00738,0.98824,0.94318,0.96339,0.6633,1.15768,0.37405,0.00894,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,9165.37,1.0221,0.30077,0.00749,0.98072,0.94746,0.96309,0.6643,1.15834,0.37305,0.00892,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,9307.1,1.01833,0.29762,0.0074,0.98389,0.94271,0.9699,0.66746,1.15818,0.35554,0.00898,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,9449.34,1.03183,0.29658,0.00742,0.98583,0.93943,0.96962,0.66965,1.1444,0.37786,0.00878,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
