epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,16941.2,1.46533,1.11083,0.01272,0.77853,0.70828,0.78705,0.46144,1.33005,0.92075,0.01487,0.0142765,0.00475882,0.0142765,0.00475882,0.0142765,0.00475882,0.0142765,0.00475882
47,17308.3,1.45171,1.08854,0.01245,0.78245,0.71205,0.78762,0.46158,1.33366,0.9146,0.01494,0.0139271,0.00464235,0.0139271,0.00464235,0.0139271,0.00464235,0.0139271,0.00464235
48,17676.1,1.44546,1.09767,0.01234,0.78175,0.7125,0.78446,0.46365,1.32264,0.9262,0.0149,0.0135776,0.00452588,0.0135776,0.00452588,0.0135776,0.00452588,0.0135776,0.00452588
49,18043,1.42785,1.06496,0.01243,0.77662,0.71655,0.78321,0.46188,1.33329,0.92244,0.01497,0.0132282,0.00440941,0.0132282,0.00440941,0.0132282,0.00440941,0.0132282,0.00440941
50,18410,1.4382,1.06829,0.01195,0.77978,0.71497,0.78243,0.4599,1.34534,0.91836,0.01511,0.0128788,0.00429294,0.0128788,0.00429294,0.0128788,0.00429294,0.0128788,0.00429294
51,18776.8,1.41853,1.05558,0.01214,0.7914,0.70474,0.78306,0.46147,1.33688,0.91706,0.01494,0.0125294,0.00417647,0.0125294,0.00417647,0.0125294,0.00417647,0.0125294,0.00417647
52,19144.3,1.4214,1.02947,0.01184,0.78385,0.71204,0.78249,0.46263,1.3295,0.92082,0.01498,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
53,19510.8,1.40363,1.02719,0.01202,0.79369,0.70452,0.78341,0.4628,1.32085,0.92179,0.01475,0.0118306,0.00394353,0.0118306,0.00394353,0.0118306,0.00394353,0.0118306,0.00394353
54,19877.2,1.41651,1.01473,0.01158,0.79521,0.70744,0.78217,0.46354,1.32398,0.92178,0.01467,0.0114812,0.00382706,0.0114812,0.00382706,0.0114812,0.00382706,0.0114812,0.00382706
55,20242.9,1.39895,1.00318,0.01174,0.78798,0.71141,0.78491,0.46426,1.32243,0.92057,0.01466,0.0111318,0.00371059,0.0111318,0.00371059,0.0111318,0.00371059,0.0111318,0.00371059
56,20609.7,1.38974,0.98176,0.01168,0.78759,0.71133,0.7832,0.46591,1.32362,0.91393,0.01467,0.0107824,0.00359412,0.0107824,0.00359412,0.0107824,0.00359412,0.0107824,0.00359412
57,20976.2,1.37521,0.97133,0.01147,0.78345,0.71554,0.78269,0.46436,1.32341,0.91714,0.01468,0.0104329,0.00347765,0.0104329,0.00347765,0.0104329,0.00347765,0.0104329,0.00347765
58,21343,1.38311,0.96804,0.01145,0.78074,0.71392,0.78182,0.46522,1.32216,0.91381,0.01465,0.0100835,0.00336118,0.0100835,0.00336118,0.0100835,0.00336118,0.0100835,0.00336118
59,21709.4,1.35563,0.94641,0.01164,0.7754,0.71964,0.78201,0.4658,1.31872,0.91265,0.01459,0.00973412,0.00324471,0.00973412,0.00324471,0.00973412,0.00324471,0.00973412,0.00324471
